root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:25:50.221611 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 2847563732:2847563840, ack 2227293218, win 501, length 108
15:25:50.221739 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 108:144, ack 1, win 501, length 36
15:25:50.221866 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 144:252, ack 1, win 501, length 108
15:25:50.221992 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 252:288, ack 1, win 501, length 36
15:25:50.222710 IP 138.197.151.74.44003 > dns.google.domain: 5435+ PTR? 43.207.212.24.in-addr.arpa. (44)
15:25:50.231737 IP dns.google.domain > 138.197.151.74.44003: 5435 1/0/0 PTR 24-212-207-43.cable.teksavvy.com. (90)
15:25:50.232058 IP 138.197.151.74.48160 > dns.google.domain: 42978+ PTR? 74.151.197.138.in-addr.arpa. (45)
15:25:50.235324 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 288, win 2335, length 0
15:25:50.345768 IP dns.google.domain > 138.197.151.74.48160: 42978 NXDomain 0/1/0 (112)
15:25:50.346182 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 288:476, ack 1, win 501, length 188
15:25:50.346309 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 476:512, ack 1, win 501, length 36
15:25:50.346468 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 512:676, ack 1, win 501, length 164
15:25:50.346584 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 676:712, ack 1, win 501, length 36
15:25:50.346721 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 712:884, ack 1, win 501, length 172
15:25:50.346842 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 884:920, ack 1, win 501, length 36
15:25:50.347035 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 920:1084, ack 1, win 501, length 164
15:25:50.347163 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1084:1120, ack 1, win 501, length 36
15:25:50.347437 IP 138.197.151.74.52935 > dns.google.domain: 27999+ PTR? 8.8.8.8.in-addr.arpa. (38)
15:25:50.348131 IP dns.google.domain > 138.197.151.74.52935: 27999 1/0/0 PTR dns.google. (62)
15:25:50.348377 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1120:1260, ack 1, win 501, length 140
15:25:50.348487 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1260:1296, ack 1, win 501, length 36
15:25:50.359092 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 1296, win 2337, length 0
15:25:50.359184 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1296:4216, ack 1, win 501, length 2920
15:25:50.359284 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4216:4408, ack 1, win 501, length 192
15:25:50.359429 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4408:4564, ack 1, win 501, length 156
15:25:50.359538 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4564:4600, ack 1, win 501, length 36
15:25:50.359759 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4600:4772, ack 1, win 501, length 172
15:25:50.360146 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4772:4808, ack 1, win 501, length 36
15:25:50.360352 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4808:4980, ack 1, win 501, length 172
15:25:50.360487 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4980:5016, ack 1, win 501, length 36
15:25:50.360681 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5016:5188, ack 1, win 501, length 172
15:25:50.360890 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5188:5224, ack 1, win 501, length 36
15:25:50.361086 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5224:5396, ack 1, win 501, length 172
15:25:50.361249 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5396:5432, ack 1, win 501, length 36
15:25:50.361388 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5432:5604, ack 1, win 501, length 172
15:25:50.361484 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 5604:5640, ack 1, win 501, length 36
