root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:47:33.293578 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 2983280928:2983281036, ack 2227378330, win 501, length 108
15:47:33.293714 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 108:144, ack 1, win 501, length 36
15:47:33.293850 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 144:252, ack 1, win 501, length 108
15:47:33.293967 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 252:288, ack 1, win 501, length 36
15:47:33.305370 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 288, win 18770, length 0
15:47:33.325285 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 288:476, ack 1, win 501, length 188
15:47:33.325420 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 476:512, ack 1, win 501, length 36
15:47:33.325583 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 512:676, ack 1, win 501, length 164
15:47:33.325694 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 676:712, ack 1, win 501, length 36
15:47:33.325835 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 712:884, ack 1, win 501, length 172
15:47:33.325953 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 884:920, ack 1, win 501, length 36
15:47:33.326123 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 920:1084, ack 1, win 501, length 164
15:47:33.326228 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1084:1120, ack 1, win 501, length 36
15:47:33.326377 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1120:1276, ack 1, win 501, length 156
15:47:33.326480 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1276:1312, ack 1, win 501, length 36
15:47:33.340388 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 712, win 18769, length 0
15:47:33.340489 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 1312:3368, ack 1, win 501, length 2056
15:47:33.340519 IP 24-212-207-43.cable.teksavvy.com.51275 > 138.197.151.74.ssh: Flags [.], ack 1312, win 18773, length 0
15:47:33.340792 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3368:3524, ack 1, win 501, length 156
15:47:33.340916 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3524:3560, ack 1, win 501, length 36
15:47:33.341044 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3560:3732, ack 1, win 501, length 172
15:47:33.341144 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3732:3768, ack 1, win 501, length 36
15:47:33.341263 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3768:3924, ack 1, win 501, length 156
15:47:33.341358 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3924:3960, ack 1, win 501, length 36
15:47:33.341481 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 3960:4132, ack 1, win 501, length 172
15:47:33.341577 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4132:4168, ack 1, win 501, length 36
15:47:33.341706 IP 138.197.151.74.ssh > 24-212-207-43.cable.teksavvy.com.51275: Flags [P.], seq 4168:4340, ack 1, win 501, length 172
