root@lamp-ubuntu-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
15:45:15.910486 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2970755848:2970755956, ack 2227369006, win 501, length 108
15:45:15.910622 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 108:144, ack 1, win 501, length 36
15:45:15.910747 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 144:252, ack 1, win 501, length 108
15:45:15.910856 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 252:288, ack 1, win 501, length 36
15:45:15.911157 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 288:460, ack 1, win 501, length 172
15:45:15.911272 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 460:496, ack 1, win 501, length 36
15:45:15.911427 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 496:644, ack 1, win 501, length 148
15:45:15.911526 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 644:680, ack 1, win 501, length 36
15:45:15.911705 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 680:828, ack 1, win 501, length 148
15:45:15.918434 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 460, win 18774, length 0
15:45:15.918511 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 828:1968, ack 1, win 501, length 1140
15:45:15.918783 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 1968:2108, ack 1, win 501, length 140
15:45:15.918943 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2108:2144, ack 1, win 501, length 36
15:45:15.919203 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2144:2292, ack 1, win 501, length 148
15:45:15.919348 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2292:2328, ack 1, win 501, length 36
15:45:15.919538 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2328:2476, ack 1, win 501, length 148
15:45:15.919716 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2476:2512, ack 1, win 501, length 36
15:45:15.919907 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2512:2660, ack 1, win 501, length 148
15:45:15.920030 IP 24.212.207.43.51275 > 138.197.151.74.22: Flags [.], ack 828, win 18772, length 0
15:45:15.920093 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2660:2696, ack 1, win 501, length 36
15:45:15.920268 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2696:2844, ack 1, win 501, length 148
15:45:15.920406 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2844:2880, ack 1, win 501, length 36
15:45:15.920592 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 2880:3028, ack 1, win 501, length 148
15:45:15.920744 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3028:3064, ack 1, win 501, length 36
15:45:15.920981 IP 138.197.151.74.22 > 24.212.207.43.51275: Flags [P.], seq 3064:3212, ack 1, win 501, length 148
